timestamp,asset,midprice,spread,volatility,regime,orderflow_imbalance,bid_size_0,bid_size_1,bid_size_2,bid_size_3,bid_size_4,ask_size_0,ask_size_1,ask_size_2,ask_size_3,ask_size_4
0,ASSET_A,100.2228,0.0207,0.0207,normal,0.2775,75.2174,68.3246,34.2283,163.8598,5.5282,149.3936,85.11,93.1457,62.1735,96.14
1,ASSET_E,107.2076,0.0259,0.0424,normal,-0.6219,200.4253,156.5299,149.2071,96.8483,74.371,240.1775,145.937,67.6444,23.1111,118.5539
2,ASSET_A,100.4413,0.0458,0.0433,normal,-0.8342,100.233,20.3639,98.8016,172.6563,108.7808,91.4331,90.3856,221.7491,1.02,102.4123
3,ASSET_A,99.9934,0.0319,0.0418,normal,-0.7609,65.1367,14.2338,81.8377,138.0432,150.026,244.5541,193.3603,62.3542,202.5144,108.4129
4,ASSET_B,102.4188,0.0125,0.0421,normal,0.8765,69.8674,183.0124,150.0547,105.1158,103.4587,100.0283,73.3629,68.1987,101.466,65.0677
5,ASSET_A,100.5408,0.0403,0.0482,normal,0.2195,56.0244,126.4075,113.4788,335.3829,34.294,98.2344,12.9613,247.9935,68.276,260.8672
6,ASSET_A,99.2918,0.0344,0.0459,normal,-0.1216,150.0989,71.4966,68.7175,81.9655,114.6787,55.5578,65.0982,18.6231,29.4585,141.8201
7,ASSET_E,108.0137,0.0564,0.0238,stress,0.4115,119.056,67.6903,32.2295,99.1854,108.4595,110.1882,73.5049,125.677,100.9552,126.8003
8,ASSET_A,100.1611,0.0375,0.0228,normal,-0.0136,39.7087,83.9812,99.2659,17.5096,196.9491,58.3742,87.5567,57.8514,117.6736,86.1923
9,ASSET_B,102.1411,0.0978,0.0472,stress,0.0211,52.1309,79.8256,81.4783,13.4267,52.4655,275.8522,58.391,65.5428,187.7941,92.4148
10,ASSET_D,106.4508,0.0131,0.0256,normal,-0.1396,59.0968,31.9995,70.4619,88.0329,72.2383,17.649,148.3495,76.1727,217.938,27.8
11,ASSET_B,101.5757,0.0161,0.0365,normal,0.693,91.4413,149.8653,85.243,65.9864,212.5887,32.5345,211.2039,199.2207,83.1697,73.1346
12,ASSET_A,100.3168,0.0376,0.0341,normal,0.8018,193.8415,24.3901,129.47,28.952,186.0308,137.6384,45.7816,206.2862,334.9987,176.9158
13,ASSET_B,102.0081,0.014,0.0412,normal,0.6746,56.3872,53.8245,81.1922,104.5892,31.5455,222.0352,195.8224,86.9021,26.9535,28.2903
14,ASSET_C,103.6092,0.0462,0.0477,normal,0.7604,82.4501,25.1455,83.2545,77.2646,117.383,19.0502,169.7399,63.2447,147.3468,148.7912
15,ASSET_B,102.186,0.0269,0.0271,normal,-0.8028,293.8404,37.3909,112.252,20.988,43.2644,237.3767,108.3823,108.4161,13.767,37.7598
16,ASSET_A,99.7064,0.0453,0.0435,normal,0.2012,42.0644,37.1055,34.3773,121.5558,83.1558,81.2361,106.9693,112.2162,127.5719,193.866
17,ASSET_D,105.7062,0.0419,0.0464,normal,0.873,112.6056,60.6828,74.1792,253.4235,27.549,191.1305,365.666,132.03,76.0633,154.3743
18,ASSET_E,107.6218,0.0837,0.0402,stress,0.5428,127.823,211.5182,142.4519,152.9372,28.5038,18.8712,203.416,16.0883,142.6161,79.0166
19,ASSET_B,102.0042,0.0409,0.0303,normal,0.4007,96.7962,93.4278,86.7512,186.5747,78.4281,84.8582,25.9701,91.9755,169.4427,64.7684
20,ASSET_E,107.876,0.0335,0.029,normal,-0.2489,42.4247,45.294,93.0601,8.6623,152.1536,33.1205,126.3599,79.0696,49.596,23.1021
