timestamp,asset,type,side,price,size,regime
1,ASSET_C,MARKET_ORDER,buy,104.123,75.3024,normal
4,ASSET_D,LIMIT_ADD,buy,105.6853,95.5357,normal
6,ASSET_C,MARKET_ORDER,sell,103.6122,112.6063,normal
8,ASSET_B,LIMIT_ADD,sell,102.2325,93.2397,normal
11,ASSET_D,LIMIT_ADD,buy,104.7112,87.6003,normal
12,ASSET_A,LIMIT_CANCEL,buy,100.1036,82.8982,normal
15,ASSET_D,LIMIT_ADD,buy,106.2118,127.3639,normal
18,ASSET_D,LIMIT_CANCEL,sell,105.5367,99.203,stress
21,ASSET_C,MARKET_ORDER,sell,104.5406,118.2758,normal
22,ASSET_B,LIMIT_ADD,sell,101.9832,92.4357,stress
23,ASSET_B,LIMIT_CANCEL,sell,102.7859,118.7678,normal
24,ASSET_A,MARKET_ORDER,sell,99.6341,148.5534,normal
27,ASSET_C,LIMIT_CANCEL,buy,104.1222,80.2753,normal
29,ASSET_D,MARKET_ORDER,buy,106.2319,87.7071,normal
32,ASSET_D,MARKET_ORDER,buy,106.8547,59.4445,stress
33,ASSET_B,LIMIT_ADD,buy,102.8847,92.7097,normal
35,ASSET_B,MARKET_ORDER,buy,102.345,145.3877,normal
38,ASSET_C,LIMIT_ADD,sell,103.9327,48.3357,stress
40,ASSET_B,LIMIT_ADD,sell,102.0388,70.6012,stress
41,ASSET_C,MARKET_ORDER,buy,103.4469,97.3353,normal
43,ASSET_D,LIMIT_ADD,sell,106.2479,48.566,normal
44,ASSET_C,LIMIT_ADD,buy,104.471,114.2038,normal
46,ASSET_A,MARKET_ORDER,sell,99.3777,98.4637,normal
49,ASSET_C,MARKET_ORDER,sell,104.6874,90.1868,stress
50,ASSET_E,MARKET_ORDER,buy,108.0068,79.2769,normal
53,ASSET_D,LIMIT_ADD,buy,106.1133,139.7641,normal
54,ASSET_A,LIMIT_CANCEL,buy,100.6752,79.7628,normal
57,ASSET_A,MARKET_ORDER,buy,100.1304,116.8017,stress
60,ASSET_A,MARKET_ORDER,sell,99.6991,79.338,normal
63,ASSET_D,LIMIT_ADD,sell,106.1251,126.601,stress
65,ASSET_E,LIMIT_ADD,sell,108.0854,110.0561,stress
66,ASSET_C,LIMIT_CANCEL,buy,103.997,118.5137,normal
67,ASSET_A,MARKET_ORDER,buy,99.322,152.993,normal
69,ASSET_E,MARKET_ORDER,sell,108.2185,119.3388,normal
71,ASSET_A,LIMIT_ADD,buy,99.1034,152.1311,normal
74,ASSET_B,LIMIT_CANCEL,sell,101.7826,57.7485,normal
75,ASSET_E,MARKET_ORDER,sell,108.334,76.9161,normal
76,ASSET_A,LIMIT_ADD,buy,99.807,65.1232,stress
77,ASSET_B,LIMIT_ADD,sell,102.7346,29.162,normal
79,ASSET_A,LIMIT_CANCEL,sell,100.0586,60.4545,stress
82,ASSET_B,LIMIT_ADD,sell,103.6592,93.9,normal
83,ASSET_A,LIMIT_ADD,sell,99.2725,65.5183,normal
86,ASSET_E,LIMIT_ADD,buy,108.1074,99.4067,normal
89,ASSET_B,MARKET_ORDER,sell,102.4278,80.0205,normal
