asset_i,asset_j,correlation,synthetic_hedge_ratio,distance_metric
ASSET_A,ASSET_B,0.51,1.2237,0.49
ASSET_A,ASSET_C,0.3354,1.4898,0.6646
ASSET_A,ASSET_D,0.3133,0.6017,0.6867
ASSET_A,ASSET_E,0.8103,0.8541,0.1897
ASSET_A,ASSET_F,0.5795,1.1699,0.4205
ASSET_A,ASSET_G,0.6668,1.1912,0.3332
ASSET_A,ASSET_H,0.4784,0.8341,0.5216
ASSET_A,ASSET_I,0.4567,0.5582,0.5433
ASSET_A,ASSET_J,0.8632,1.1637,0.1368
ASSET_B,ASSET_C,0.783,1.1979,0.217
ASSET_B,ASSET_D,0.6966,1.451,0.3034
ASSET_B,ASSET_E,0.6029,0.6407,0.3971
ASSET_B,ASSET_F,0.4544,0.5322,0.5456
ASSET_B,ASSET_G,0.6679,0.9951,0.3321
ASSET_B,ASSET_H,0.7616,1.3871,0.2384
ASSET_B,ASSET_I,0.8845,1.2022,0.1155
ASSET_B,ASSET_J,0.2844,1.1794,0.7156
ASSET_C,ASSET_D,0.2991,1.3454,0.7009
ASSET_C,ASSET_E,0.4614,0.6808,0.5386
ASSET_C,ASSET_F,0.4021,0.7547,0.5979
ASSET_C,ASSET_G,0.366,0.924,0.634
ASSET_C,ASSET_H,0.508,0.9618,0.492
ASSET_C,ASSET_I,0.6493,1.4419,0.3507
ASSET_C,ASSET_J,0.5431,1.43,0.4569
ASSET_D,ASSET_E,0.2875,1.2539,0.7125
ASSET_D,ASSET_F,0.2188,1.3351,0.7812
ASSET_D,ASSET_G,0.6361,0.6002,0.3639
ASSET_D,ASSET_H,0.661,0.754,0.339
ASSET_D,ASSET_I,0.8649,1.3406,0.1351
ASSET_D,ASSET_J,0.6752,0.8404,0.3248
ASSET_E,ASSET_F,0.7107,1.2211,0.2893
ASSET_E,ASSET_G,0.6126,1.2787,0.3874
ASSET_E,ASSET_H,0.2768,1.2134,0.7232
ASSET_E,ASSET_I,0.2975,1.483,0.7025
ASSET_E,ASSET_J,0.2668,1.354,0.7332
ASSET_F,ASSET_G,0.2131,1.2626,0.7869
ASSET_F,ASSET_H,0.7492,0.6364,0.2508
ASSET_F,ASSET_I,0.4648,0.9113,0.5352
ASSET_F,ASSET_J,0.8451,0.6073,0.1549
ASSET_G,ASSET_H,0.8288,1.0315,0.1712
ASSET_G,ASSET_I,0.4655,1.0299,0.5345
ASSET_G,ASSET_J,0.617,0.9021,0.383
ASSET_H,ASSET_I,0.2673,0.9678,0.7327
ASSET_H,ASSET_J,0.4949,0.9391,0.5051
ASSET_I,ASSET_J,0.5447,0.507,0.4553
