timestamp,inferred_regime,vol,spread,depth
2,normal,0.0252,0.024,58.6018
5,normal,0.0242,0.0451,122.183
8,normal,0.0362,0.0208,137.4286
11,normal,0.0123,0.0489,153.0812
14,normal,0.0375,0.0451,142.7481
18,normal,0.0128,0.0415,137.2223
19,normal,0.017,0.0169,184.0075
22,stress,0.0626,0.0998,114.6875
23,stress,0.0526,0.0957,59.2265
26,stress,0.0665,0.0565,83.6507
31,stress,0.0308,0.0822,63.5035
36,stress,0.0786,0.0591,114.8632
41,normal,0.0438,0.0416,138.2235
44,normal,0.047,0.0208,137.6451
45,normal,0.0321,0.03,98.8904
47,normal,0.0132,0.02,54.6104
52,normal,0.0298,0.0291,153.7885
56,normal,0.027,0.0163,142.6015
60,normal,0.0326,0.0409,84.0693
63,normal,0.0138,0.0366,136.8783
68,stress,0.0702,0.0521,104.3104
70,stress,0.0778,0.073,91.7378
71,stress,0.0313,0.0485,94.9833
73,stress,0.0204,0.0482,111.9179
75,stress,0.0491,0.0603,77.644
79,stress,0.0344,0.0288,46.3353
83,stress,0.0508,0.0686,54.1432
88,stress,0.1,0.0331,37.1884
90,stress,0.0307,0.039,51.538
93,stress,0.0229,0.02,49.8844
98,stress,0.0297,0.0507,86.3474
99,stress,0.0364,0.0599,61.4826
101,stress,0.0936,0.0442,94.0332
104,stress,0.0839,0.065,41.8732
106,stress,0.0503,0.0751,61.5112
111,normal,0.0265,0.0459,143.5307
116,normal,0.0383,0.0251,197.5942
119,normal,0.0357,0.0341,164.9661
122,normal,0.0128,0.0132,152.5903
126,normal,0.0148,0.0254,131.1103
130,normal,0.0227,0.0435,143.8885
131,normal,0.0445,0.0366,101.1192
136,normal,0.0225,0.0264,173.9395
141,normal,0.047,0.0169,111.7194
144,normal,0.0249,0.0467,127.2898
148,normal,0.0128,0.0124,84.6065
150,stress,0.0285,0.0852,92.4297
152,stress,0.0845,0.0221,68.0286
156,stress,0.0483,0.0499,58.6361
158,normal,0.0213,0.0105,60.6414
159,normal,0.0211,0.0127,115.3569
161,normal,0.0411,0.017,144.0478
164,normal,0.0243,0.0173,171.8377
165,normal,0.0394,0.0364,181.6662
169,normal,0.0398,0.0261,191.4939
171,normal,0.0226,0.0331,196.5184
174,normal,0.0298,0.0338,118.4502
176,stress,0.0264,0.0802,92.4737
181,stress,0.0805,0.0259,57.6211
185,stress,0.0444,0.0309,80.7652
187,stress,0.0523,0.0634,94.4584
188,stress,0.0717,0.033,30.2639
193,stress,0.0503,0.0867,74.7078
194,stress,0.0386,0.0431,116.9253
199,stress,0.0644,0.0442,40.18
204,stress,0.0381,0.0533,118.446
206,stress,0.0492,0.0933,86.148
208,stress,0.0371,0.0357,59.9519
210,stress,0.0983,0.0778,75.8301
214,stress,0.0966,0.0872,54.0518
217,stress,0.0219,0.0562,62.8873
221,stress,0.0565,0.071,109.0594
222,stress,0.0674,0.0759,61.8701
227,stress,0.0972,0.0949,35.3282
232,stress,0.0602,0.0893,38.2077
237,stress,0.0588,0.0769,93.68
242,stress,0.065,0.0709,88.4844
246,stress,0.0417,0.0357,115.8998
251,stress,0.0977,0.0898,92.1859
253,stress,0.073,0.0672,100.2869
254,stress,0.0327,0.0772,96.4918
257,stress,0.0819,0.0857,93.2422
258,stress,0.0819,0.0547,110.6994
263,normal,0.0149,0.0415,181.0503
264,normal,0.0236,0.0165,196.1591
265,normal,0.0442,0.0328,148.1994
269,normal,0.0217,0.0247,129.3326
270,normal,0.042,0.049,116.1291
274,normal,0.0465,0.0122,82.5213
276,normal,0.0217,0.0405,56.664
279,normal,0.0243,0.0424,153.6615
280,normal,0.0241,0.041,182.0524
284,normal,0.0494,0.041,109.625
285,normal,0.0345,0.0117,111.238
286,normal,0.0175,0.0391,74.8632
290,normal,0.0282,0.0462,198.2718
291,normal,0.0459,0.028,132.9969
296,normal,0.0397,0.0187,172.8856
300,normal,0.0227,0.0351,166.2112
302,normal,0.0257,0.0304,196.5023
304,normal,0.0284,0.0369,184.8142
308,normal,0.0149,0.0149,93.29
310,normal,0.0314,0.0471,152.468
311,normal,0.0474,0.0454,87.7941
316,normal,0.0162,0.0483,141.598
317,normal,0.0259,0.0308,124.1605
320,normal,0.0281,0.0219,125.4694
324,stress,0.0789,0.0907,64.5029
325,stress,0.0627,0.0244,88.3898
329,stress,0.0301,0.0398,98.1382
330,stress,0.0685,0.0927,116.2359
333,stress,0.0675,0.0555,37.3653
337,stress,0.0447,0.069,42.4301
342,stress,0.073,0.0222,74.2073
346,stress,0.0679,0.0926,33.7833
349,stress,0.0702,0.0346,58.7241
351,stress,0.0433,0.0888,104.143
353,normal,0.0308,0.0229,82.5817
357,normal,0.0207,0.0185,146.9888
358,normal,0.017,0.0107,72.7598
362,stress,0.0611,0.0424,86.317
363,stress,0.0674,0.0495,35.2231
368,stress,0.0344,0.0812,64.0293
370,stress,0.0559,0.0816,44.5889
372,stress,0.056,0.0752,88.4493
375,stress,0.0771,0.0413,47.8649
377,stress,0.0869,0.0613,86.7658
378,stress,0.0997,0.0902,34.3136
381,stress,0.0217,0.0989,42.7466
382,stress,0.0522,0.0568,119.4581
384,stress,0.0262,0.0734,56.8463
389,stress,0.0795,0.0386,112.1546
392,stress,0.0332,0.0216,75.0712
397,normal,0.0183,0.0414,91.729
402,normal,0.035,0.0432,84.4969
407,normal,0.0416,0.0184,123.7978
412,normal,0.0286,0.0457,152.0012
414,normal,0.0437,0.0264,63.099
417,normal,0.0139,0.0186,153.6923
418,normal,0.0106,0.0154,53.2428
422,normal,0.0144,0.0118,108.6172
425,normal,0.0188,0.0403,176.8737
427,normal,0.0399,0.0455,174.4381
432,stress,0.0616,0.0282,109.8134
435,stress,0.0592,0.0237,86.0113
437,stress,0.0618,0.0786,83.418
438,stress,0.0623,0.0403,99.7475
439,stress,0.0724,0.0806,93.8799
442,stress,0.0746,0.0919,47.5488
446,stress,0.0294,0.0691,97.7532
449,stress,0.0577,0.0992,43.5292
450,stress,0.0542,0.0377,81.7417
455,stress,0.0609,0.0586,64.524
456,stress,0.0227,0.0556,33.218
458,stress,0.0761,0.0653,94.6722
463,stress,0.0542,0.0432,118.4884
468,normal,0.0338,0.014,67.4653
470,normal,0.0362,0.0335,126.2743
475,normal,0.0482,0.0397,84.4638
479,normal,0.0304,0.0484,169.1392
481,normal,0.0169,0.019,108.7293
485,normal,0.0438,0.0456,76.1235
488,normal,0.0303,0.0401,195.9575
